,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
Northumberland,/,Hexham,"John Martin Street, Haydon Bridge",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 07:00hrs to 20:00hrs /October to April 07:00hrs to 19:00hrs.,1,1,0,0,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"The Sele, Hexham",/,/,/,/,/,/,/,/,/,06:00hrs to 18:00,18.00 - 06.00,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"St Marys Wynd, Hexham",/,/,/,/,/,/,/,/,/,06.00 - 20.00,20.00 - 06.00,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"Tyne Green, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 06:30hrs to 21:00hrs / October to April 06:30hrs to 18:00hrs.,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"Wentworth Car park, Alemouth Road, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 06:30hrs 21:00hrs / October to April 06:30hrs to 18:00hrs.,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,"The Green, Wall, Hexham",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 06:30hrs 21:00hrs / October to April 06:30hrs to 18:00hrs.,1,1,0,/,/,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Hexham,Bolam Lake Car Park,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open May to September 06:30hrs 21:00hrs / October to April 06:30hrs to 18:00hrs.,1,1,0,1,/,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Otterburn,"Main Street, Otterburn",/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,0,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Prudhoe,"Neale Street, Prudhoe",/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Prudhoe,"South Road, Prudhoe",/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
